4639674,4639674,-
4639484,4639419,-
4639337,4636875,-
4636873,4635941,-
4635940,4634654,-
4634440,4634144,-
4634109,4634005,-
4631436,4630483,-
4630368,4629781,-
4627511,4625595,-
4625506,4624376,-
4624287,4622943,-
4624229,4623117,-
4622722,4622668,-
4622185,4621019,-
4620959,4620054,-
4618493,4618275,-
4618267,4617326,-
4617283,4614467,-
4614467,4613973,-
4613964,4613879,-
4613848,4613399,-
4613397,4612447,-
4612381,4611467,-
4611300,4610479,-
4610023,4608875,-
4608857,4605636,-
4605374,4604979,-
4604947,4604912,-
4600523,4600442,-
4597271,4596501,-
4596486,4595545,-
4595494,4594208,-
4594211,4593924,-
4593867,4592536,-
4592428,4591898,-
4591905,4590043,-
4589851,4589372,-
4589347,4589311,-
4582310,4581495,-
4581200,4580622,-
4581200,4580395,-
4580622,4580395,-
4573109,4572862,-
4569287,4568409,-
4568323,4567559,-
4567538,4567454,-
4562307,4562081,-
4562286,4562155,-
4562053,4560875,-
4555306,4554362,-
4554044,4552320,-
4552317,4551826,-
4551646,4550642,-
4550040,4549582,-
4549580,4548639,-
4548642,4548277,-
4548261,4546495,-
4546508,4545021,-
4545024,4543666,-
4543672,4542590,-
4542587,4541271,-
4541271,4540027,-
4540030,4538963,-
4538909,4537434,-
4537441,4536521,-
4536519,4535689,-
4535692,4534430,-
4535141,4534905,-
4534369,4533218,-
4533117,4532200,-
4531969,4531457,-
4531395,4528690,-
4528630,4528241,-
4528244,4528045,-
4526230,4525187,-
4520941,4520390,-
4520393,4519539,-
4517582,4516818,-
4516657,4513994,-
4513979,4512087,-
4511762,4510338,-
4510327,4510313,-
4508059,4505462,-
4505286,4504924,-
4502591,4501041,-
4500975,4500878,-
4498243,4497707,-
4497696,4497676,-
4496895,4495969,-
4495972,4495202,-
4495097,4494657,-
4494593,4493364,-
4492706,4491804,-
4477569,4475140,-
4474944,4472410,-
4472393,4472369,-
4472190,4469947,-
4469896,4469099,-
4469099,4468209,-
4468212,4466230,-
4466170,4466086,-
4464567,4463146,-
4463064,4462720,-
4462705,4462687,-
4460437,4458920,-
4458790,4457366,-
4457211,4456054,-
4449962,4449827,-
4449800,4449075,-
4448817,4447966,-
4447819,4447094,-
4446802,4446245,-
4446153,4444957,-
4444771,4444010,-
4443997,4443140,-
4443128,4441776,-
4441746,4439314,-
4439192,4438707,-
4438703,4437678,-
4437573,4437118,-
4437114,4436326,-
4436326,4435178,-
4435181,4434585,-
4434548,4431066,-
4431053,4430094,-
4429995,4427854,-
4427797,4427408,-
4427343,4426045,-
4426042,4426006,-
4425383,4424838,-
4424841,4424419,-
4424405,4423695,-
4423647,4423537,-
4416841,4416266,-
4415903,4414362,-
4414293,4414217,-
4414174,4414099,-
4413915,4411012,-
4410918,4410799,-
4410746,4410670,-
4410507,4409704,-
4408552,4407752,-
4407748,4407125,-
4404858,4404136,-
4403607,4402876,-
4402743,4402667,-
4402339,4401554,-
4400568,4400296,-
4399331,4398858,-
4396131,4395553,-
4395545,4395411,-
4395347,4394580,-
4392962,4392213,-
4392216,4392133,-
4392037,4391540,-
4391527,4391340,-
4389602,4388847,-
4388776,4387721,-
4387669,4387376,-
4387373,4386975,-
4386965,4386513,-
4386195,4385989,-
4385972,4385472,-
4385457,4385430,-
4383697,4383239,-
4383147,4381903,-
4381845,4381775,-
